"countries","2014","2015","2016","2017","2018"
"Afghanistan",NA,"10","12","8","9"
"Albania",NA,"4","11","24","30"
"Algeria","4","5","6","9","27"
"Andorra",NA,NA,"3","1","3"
"Argentina","22","75","208","112","282"
"Armenia","6","38","20","21","50"
"Australia","121","363","673","499","1149"
"Austria","33","133","208","226","331"
"Azerbaijan",NA,"4","9","6","33"
"Bahrain",NA,"3","4","6","7"
"Bangladesh","17","31","85","69","268"
"Barbados",NA,"2","1","1","2"
"Belarus","13","35","94","37","152"
"Belgium","44","141","296","204","398"
"Bolivia","3","4","5","4","11"
"Bosnia-Herzegovina",NA,"10","25","29","59"
"Brazil","67","199","656","342","1108"
"Bulgaria","30","65","147","151","232"
"Cambodia",NA,"3","7","5","17"
"Cameroon",NA,NA,"4","1","6"
"Canada","205","444","1193","1205","1850"
"Chile","8","29","53","46","98"
"China","36","127","182","96","317"
"Colombia","14","20","50","69","174"
"Costa Rica","1","13","22","29","52"
"Croatia","12","38","78","85","103"
"Cuba",NA,"3","14","11","32"
"Cyprus","2","5","14","12","25"
"Czech Republic","29","98","159","160","330"
"Denmark","39","145","332","152","336"
"Dominican Republic","6","7","48","32","56"
"Ecuador","1","3","15","13","21"
"Egypt","16","41","52","40","119"
"El Salvador","2","2","8","10","18"
"Estonia","11","27","53","46","91"
"Ethiopia",NA,"3","4","6","15"
"Fiji",NA,NA,"2","1","4"
"Finland","28","117","251","158","282"
"France","140","422","851","865","1287"
"Georgia","5","13","19","22","22"
"Germany","305","936","1957","2034","3115"
"Ghana","1","2","8","14","18"
"Greece","19","73","196","135","235"
"Guatemala","1","9","10","16","22"
"Honduras",NA,"3","3","3","8"
"Hong Kong","10",NA,"61","57","119"
"Hungary","30","90","127","171","229"
"Iceland","5","5","18","17","30"
"India","549","1443","2746","1948","5211"
"Indonesia","14","47","82","105","205"
"Iran","23","98","144","126","301"
"Iraq",NA,NA,"1","2","5"
"Ireland","34","102","267","203","291"
"Israel","75","112","292","311","514"
"Italy","81","236","587","341","700"
"Ivory Coast (Cote D'Ivoire)",NA,NA,"1","2","1"
"Jamaica",NA,NA,"6","11","6"
"Japan","12","40","113","122","187"
"Jordan","3","10","28","24","36"
"Kazakhstan","4","13","24","9","43"
"Kenya","1","6","25","16","47"
"Kuwait","1","1","4","7","13"
"Kyrgyzstan",NA,"3","7","4","9"
"Latvia","9","42","37","53","85"
"Lebanon","4","12","23","22","41"
"Liechtenstein",NA,"1","1","5","2"
"Lithuania","19","45","104","90","127"
"Luxembourg","2","2","15","18","42"
"Macedonia",NA,"12","24","29","27"
"Madagascar",NA,"1","3","5","9"
"Malaysia","11","39","71","87","174"
"Malta","2","8","25","20","34"
"Mauritius",NA,"2","6","5","12"
"Mexico","24","89","263","173","346"
"Moldova","2","5","14",NA,"34"
"Mongolia",NA,"1","8","8","8"
"Montenegro",NA,"2","1","3","4"
"Morocco","3","5","19","14","50"
"Mozambique",NA,"1","1","5","9"
"Myanmar",NA,"9","15","16","19"
"Namibia",NA,NA,"1","3","3"
"Nepal","1","14","29","42","96"
"Netherlands","96","297","594","418","871"
"New Zealand","31","89","215","140","307"
"Nicaragua",NA,"5","3","2","9"
"Nigeria","1","10","27","55","109"
"Norway","25","105","226","134","333"
"Oman",NA,"1","1","2","9"
"Pakistan","26","66","196","153","362"
"Panama",NA,"3","5","11","12"
"Paraguay",NA,"3","8","14","21"
"Peru","8","16","28","33","44"
"Philippines","14","35","118","118","204"
"Poland","82","356","921","566","880"
"Portugal","15","105","244","123","290"
"Qatar",NA,"2","5","3","6"
"Romania","33","110","578","308","407"
"Russia","114","347","818","423","1290"
"Rwanda",NA,NA,"1","1","3"
"Saudi Arabia","4","15","18","20","48"
"Senegal",NA,"1",NA,"1","3"
"Serbia","9","39","85","113","157"
"Singapore","22","45","133","80","177"
"Slovakia","7","20","57","59","88"
"Slovenia","13","31","73","133","103"
"Somalia",NA,"1",NA,"1","4"
"South Africa","29","88","326","222","381"
"South Korea","6","42","118","52","80"
"Spain","68","346","630","441","908"
"Sri Lanka","26","35","78","76","181"
"Sudan",NA,"1","1","3","5"
"Suriname",NA,NA,"1","1","1"
"Sweden","59","312","810","354","681"
"Switzerland","58","178","309","290","506"
"Syria",NA,"2","2","4","15"
"Taiwan","13","29","47","41","76"
"Tajikistan",NA,"1","1","1","3"
"Thailand","8","24","34","53","86"
"Trinidad and Tobago",NA,"3","4","8","11"
"Tunisia","3","13","22","18","38"
"Turkey","50","114","264","131","425"
"Uganda",NA,"2","7","4","18"
"Ukraine","45","132","512","171","485"
"United Arab Emirates","10","30","45","42","99"
"United Kingdom","526","1416","2934","2533","3607"
"United States","1505","2983","9116","6773","12676"
"Uruguay","5","33","31","40","52"
"Uzbekistan",NA,"4","8","7","17"
"Venezuela","5","15","24","23","34"
"Vietnam","8","37","89","33","98"
"Yemen",NA,NA,"1","1","2"
"Zimbabwe",NA,NA,"6","6","10"
