"2014","2015","2016","2017","2018"
1,1,1,1,0
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
0,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
0,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,0,1,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,0
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,1
1,1,1,1,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,0,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
0,1,1,1,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
