Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
India,30-34,0,Back-End Web Developer,"$20,000 - $40,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,57
Thailand,20-24,1,Back-End Web Developer,Student / Unemployed,Healthcare,Never,,,30
Iran,25-29,1,Desktop Software Developer,"<$20,000",Not Currently Employed,Occasionally,I'm neutral about it,A home office,47
Ukraine,< 20,1,Student,Student / Unemployed,Student,Never,,,0
India,25-29,1,Full-Stack Web Developer,Rather not say,Manufacturing,Never,,,53
Denmark,25-29,1,Back-End Web Developer,"$80,000 - $100,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
India,25-29,1,Database Administrator,"<$20,000",Finance / Banking,Never,,,47
India,20-24,1,Full-Stack Web Developer,"<$20,000",Web Services,Never,,,13
United Kingdom,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A co-working space,37
New Zealand,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
Israel,30-34,1,Student,"$40,000 - $60,000",Student,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
Saudi Arabia,30-34,NA,IT Staff / System Administrator,Rather not say,Web Services,Occasionally,,,0
Czech Republic,30-34,1,Back-End Web Developer,"$40,000 - $60,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,62
India,20-24,1,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,My couch,0
United Kingdom,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I'm neutral about it,My couch,23
United States,,,,,,,,,0
Canada,,,,,,,,,0
United States,35-39,1,Full-Stack Web Developer,">$140,000",Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Germany,20-24,1,I don't work in tech,Student / Unemployed,Student,Never,,,26
United States,25-29,0,Enterprise Level Services,"$100,000 - $120,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,27
United Kingdom,20-24,0,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,A home office,0
Canada,25-29,1,Desktop Software Developer,"$60,000 - $80,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,55
United States,35-39,1,Enterprise Level Services,"$100,000 - $120,000",Healthcare,Occasionally,I love it,My couch,30
Germany,25-29,1,Desktop Software Developer,,Software Products,Never,,,44
Germany,25-29,1,Student,"<$20,000",Government,Occasionally,It's not my preference. I'd prefer to be in an office,Other,34
United Kingdom,30-34,1,Front-End Web Developer,"$60,000 - $80,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",My couch,34
United States,35-39,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Foundation / Non-Profit,Occasionally,I'm neutral about it,A home office,46
Canada,40-50,0,Back-End Web Developer,Student / Unemployed,Foundation / Non-Profit,Never,,,0
United States,30-34,1,Enterprise Level Services,Rather not say,Other,Occasionally,I'm neutral about it,My couch,59
United States,51-60,1,IT Staff / System Administrator,"$60,000 - $80,000",Retail,Part-time Remote,I'm neutral about it,A home office,0
Brazil,20-24,1,Other,"<$20,000",,,,,0
India,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,82
United States,40-50,1,Other,"$80,000 - $100,000",Manufacturing,Never,,,48
India,20-24,1,I don't work in tech,Student / Unemployed,,,,,0
United States,30-34,1,Front-End Web Developer,"$80,000 - $100,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,59
