Country,Gender,Compensation: midpoint,Employment Status
Croatia,Male,30000,Employed full-time
France,Male,30000,Employed full-time
India,Male,90000,Freelance / Contractor
Latvia,Male,,Employed full-time
Norway,Male,70000,Employed full-time
United States,Male,,Employed full-time
N/A,Male,10000,Freelance / Contractor
Argentina,Male,70000,Employed full-time
Australia,Male,Rather not say,Employed full-time
Belgium,Male,,Freelance / Contractor
Belgium,Male,,Employed full-time
Belgium,Male,30000,Employed full-time
Brazil,Male,70000,Employed full-time
Brazil,Male,30000,Employed full-time
Brazil,Male,10000,Employed part-time
Canada,Male,50000,Employed full-time
Canada,Male,50000,Employed full-time
Canada,Male,70000,Employed full-time
Canada,Male,70000,Employed full-time
Canada,Male,90000,Freelance / Contractor
Canada,Male,90000,Employed full-time
China,Male,10000,Employed full-time
Denmark,Male,110000,Employed full-time
Denmark,Male,70000,Employed full-time
Denmark,Male,Rather not say,Employed full-time
Denmark,Male,110000,Employed full-time
Egypt,Male,10000,Employed full-time
Finland,Prefer not to disclose,70000,Employed full-time
France,Male,50000,Employed full-time
France,Male,,Employed full-time
France,Male,50000,Employed full-time
France,Male,70000,Freelance / Contractor
Germany,Male,50000,Employed full-time
Germany,Male,70000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Female,70000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,30000,Employed full-time
India,Male,10000,Employed full-time
India,Male,Rather not say,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,Rather not say,Employed full-time
India,Male,Rather not say,Employed full-time
India,Female,,Employed full-time
India,Male,Rather not say,Employed full-time
India,Male,,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
Indonesia,Male,10000,Employed full-time
Indonesia,Male,10000,Employed full-time
Italy,Male,50000,Employed full-time
Italy,Male,30000,Employed full-time
Italy,Male,30000,Employed full-time
Latvia,Male,30000,Employed full-time
Mexico,Male,30000,Freelance / Contractor
Mexico,Female,,Employed full-time
Mexico,Male,10000,Employed full-time
Mexico,Male,10000,Employed full-time
Mexico,Male,30000,Employed full-time
Netherlands,Male,30000,Employed full-time
Netherlands,Male,90000,Employed full-time
Netherlands,Male,30000,Employed full-time
Netherlands,,90000,Employed full-time
New Zealand,Male,90000,Employed full-time
New Zealand,Male,Rather not say,Employed full-time
Norway,Female,Rather not say,Employed full-time
Norway,Male,70000,Employed full-time
Norway,Female,130000,Employed full-time
Norway,Male,,Employed full-time
Peru,Male,,Employed full-time
Peru,Male,30000,Employed full-time
Poland,Male,Rather not say,Employed full-time
Poland,Male,30000,Employed full-time
Portugal,Male,,Employed full-time
Portugal,Male,10000,Employed full-time
Russian Federation,Male,30000,Employed full-time
Spain,Male,10000,Employed full-time
Spain,Male,30000,Employed full-time
Spain,Male,30000,Employed full-time
Spain,Female,30000,Employed full-time
Spain,Male,10000,Employed full-time
Spain,Male,50000,Employed full-time
Sweden,Male,50000,Employed full-time
Sweden,Prefer not to disclose,50000,Employed part-time
Sweden,Male,Rather not say,Employed full-time
Sweden,Male,50000,Employed full-time
Sweden,Male,90000,Employed full-time
Sweden,Male,90000,Employed full-time
Sweden,Male,,Employed full-time
Sweden,Male,50000,Employed full-time
Sweden,Male,70000,Employed full-time
Sweden,Male,70000,Employed full-time
Sweden,Male,50000,Employed full-time
Tunisia,Male,70000,Employed full-time
Turkey,Male,10000,Employed full-time
Ukraine,Male,30000,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,90000,Freelance / Contractor
United Kingdom,Male,110000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United States,Male,90000,Freelance / Contractor
United States,Male,90000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,130000,Freelance / Contractor
United States,Female,90000,Employed full-time
United States,Male,30000,Freelance / Contractor
United States,Female,130000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,90000,Employed full-time
United States,Female,110000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,110000,Other
United States,Male,110000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,Unemployed,Freelance / Contractor
United States,Male,Rather not say,Freelance / Contractor
Australia,Male,90000,Employed full-time
Brazil,Male,10000,Employed full-time
Brazil,Male,70000,Employed full-time
Brazil,Male,50000,Employed full-time
Canada,Male,70000,Employed full-time
Denmark,Male,Rather not say,Employed full-time
Finland,Male,30000,Employed part-time
France,Male,50000,Employed full-time
France,Male,50000,Employed full-time
Germany,Male,30000,Employed part-time
Germany,Male,,Employed full-time
Germany,Male,Rather not say,Employed full-time
Hungary,Male,30000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,,Employed full-time
India,Male,10000,Employed full-time
Indonesia,Male,30000,Employed full-time
Lithuania,Male,,Employed full-time
"Myanmar, {Burma}",Male,10000,Employed full-time
Netherlands,Male,50000,Employed full-time
Norway,Male,90000,Employed full-time
Philippines,Male,10000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,30000,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Male,Rather not say,Employed full-time
