country,gender,salary_midpoint,employment_status
Afghanistan,Male,,
Afghanistan,Male,45000,Employed full-time
Afghanistan,,,
Afghanistan,Female,5000,Freelance / Contractor
Afghanistan,Prefer not to disclose,,
Afghanistan,Prefer not to disclose,,
Afghanistan,Other,210000,Self-employed
Afghanistan,Male,5000,Employed full-time
Albania,Other,,
Albania,Male,5000,Freelance / Contractor
Albania,Prefer not to disclose,5000,Self-employed
Albania,Male,15000,Freelance / Contractor
Albania,Female,5000,Employed full-time
Albania,Male,5000,Employed full-time
Albania,Male,15000,Employed full-time
Algeria,Male,,
Algeria,Male,,Freelance / Contractor
Algeria,Male,,I'm a student
Algeria,Male,,
Algeria,Male,15000,Freelance / Contractor
Algeria,Male,95000,Unemployed
Algeria,Male,5000,I'm a student
Algeria,Male,,I'm a student
Algeria,Male,5000,Freelance / Contractor
Algeria,Male,,I'm a student
Algeria,Male,,
Andorra,Male,45000,Employed full-time
Andorra,,,Employed full-time
Andorra,Female,35000,Prefer not to disclose
Antigua & Deps,Male,,
Argentina,Male,,
Argentina,Male,,I'm a student
Argentina,Male,15000,Employed full-time
Argentina,Male,35000,Employed full-time
Argentina,Male,15000,Employed part-time
Argentina,Male,5000,Employed full-time
Argentina,Male,15000,Employed part-time
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Employed part-time
Argentina,Male,15000,Employed full-time
Argentina,Female,15000,Employed full-time
Argentina,Male,5000,Employed part-time
Argentina,Male,75000,Self-employed
Argentina,Male,,
Argentina,Male,,I'm a student
Argentina,Male,95000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,210000,Employed full-time
Argentina,Male,35000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,35000,Employed full-time
Argentina,Male,5000,Unemployed
Argentina,Male,15000,Employed full-time
Argentina,Female,5000,Employed full-time
Argentina,Male,,
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,,
Argentina,Male,15000,Employed full-time
Argentina,Male,85000,Freelance / Contractor
Argentina,Male,45000,Self-employed
Argentina,Male,5000,Freelance / Contractor
Argentina,Male,,
Argentina,Male,25000,Employed part-time
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Self-employed
Argentina,Male,5000,Employed full-time
Argentina,Male,5000,Self-employed
Argentina,Male,15000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,5000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,45000,Employed full-time
Argentina,Male,35000,Employed full-time
Argentina,Male,5000,Freelance / Contractor
Argentina,Male,15000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Female,35000,Employed full-time
Argentina,Male,,
Argentina,Male,55000,Freelance / Contractor
Argentina,Male,15000,Employed full-time
Argentina,Male,45000,Freelance / Contractor
Argentina,Male,15000,Employed part-time
Argentina,Male,15000,Employed full-time
Argentina,Male,,
Argentina,Male,5000,Employed full-time
Argentina,Male,5000,Self-employed
Argentina,Male,55000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Female,35000,Freelance / Contractor
Argentina,Male,35000,Freelance / Contractor
Argentina,Female,15000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,5000,Self-employed
Argentina,Male,25000,Freelance / Contractor
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,55000,Employed full-time
Argentina,Male,45000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,85000,Freelance / Contractor
Argentina,Male,5000,Employed full-time
Argentina,Male,,I'm a student
Argentina,Male,5000,Other (please specify)
Argentina,Male,25000,Employed full-time
Argentina,Male,5000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Female,5000,Employed full-time
Argentina,Male,75000,Employed full-time
Argentina,Male,15000,Freelance / Contractor
Argentina,Male,15000,Employed full-time
Argentina,Male,5000,I'm a student
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Employed part-time
Argentina,Male,25000,Employed full-time
Argentina,Male,35000,Employed full-time
Argentina,Male,5000,Employed part-time
Argentina,Male,25000,Employed full-time
Argentina,Male,,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,5000,Prefer not to disclose
Argentina,Male,,
Argentina,Male,15000,Employed full-time
Argentina,Male,45000,Employed full-time
Argentina,Male,65000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,5000,Employed part-time
Argentina,Male,15000,Employed part-time
Argentina,Male,25000,Employed full-time
Argentina,Male,25000,Employed full-time
Argentina,Male,,
Argentina,Male,15000,Self-employed
Argentina,Male,15000,Employed full-time
Argentina,Male,,
Argentina,Male,35000,Employed full-time
Argentina,Male,,
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Self-employed
Argentina,Male,15000,Employed part-time
Argentina,Male,45000,Freelance / Contractor
Argentina,Male,,
Argentina,Male,145000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,55000,Other (please specify)
Argentina,Male,25000,Freelance / Contractor
Argentina,Male,,I'm a student
Argentina,Male,35000,Self-employed
Argentina,Male,15000,Employed full-time
Argentina,Male,,
Argentina,Male,,
Argentina,Male,25000,Employed full-time
Argentina,Male,15000,Self-employed
