"countryRep","years","nRespondents","nMales","propMales"
"Argentina","2014","22","20","0.909090909090909"
"Argentina","2015","75","75","1"
"Argentina","2016","208","196","0.942307692307692"
"Argentina","2017","112","106","0.946428571428571"
"Argentina","2018","282","252","0.893617021276596"
"Australia","2014","121","118","0.975206611570248"
"Australia","2015","363","350","0.964187327823691"
"Australia","2016","673","635","0.943536404160475"
"Australia","2017","499","450","0.901803607214429"
"Australia","2018","1149","1066","0.927763272410792"
"Austria","2014","33","33","1"
"Austria","2015","133","128","0.962406015037594"
"Austria","2016","208","196","0.942307692307692"
"Austria","2017","226","201","0.889380530973451"
"Austria","2018","331","313","0.945619335347432"
"Bangladesh","2014","17","16","0.941176470588235"
"Bangladesh","2015","31","28","0.903225806451613"
"Bangladesh","2016","85","83","0.976470588235294"
"Bangladesh","2017","69","65","0.942028985507246"
"Bangladesh","2018","268","255","0.951492537313433"
"Belarus","2014","13","13","1"
"Belarus","2015","35","35","1"
"Belarus","2016","94","89","0.946808510638298"
"Belarus","2017","37","33","0.891891891891892"
"Belarus","2018","152","139","0.914473684210526"
"Belgium","2014","44","44","1"
"Belgium","2015","141","134","0.950354609929078"
"Belgium","2016","296","290","0.97972972972973"
"Belgium","2017","204","194","0.950980392156863"
"Belgium","2018","398","383","0.962311557788945"
"Brazil","2014","67","65","0.970149253731343"
"Brazil","2015","199","197","0.989949748743719"
"Brazil","2016","656","627","0.955792682926829"
"Brazil","2017","342","318","0.929824561403509"
"Brazil","2018","1108","1057","0.953971119133574"
"Bulgaria","2014","30","27","0.9"
"Bulgaria","2015","65","62","0.953846153846154"
"Bulgaria","2016","147","139","0.945578231292517"
"Bulgaria","2017","151","129","0.854304635761589"
"Bulgaria","2018","232","217","0.935344827586207"
"Canada","2014","205","192","0.936585365853659"
"Canada","2015","444","422","0.95045045045045"
"Canada","2016","1193","1122","0.940486169321039"
"Canada","2017","1205","1070","0.887966804979253"
"Canada","2018","1850","1657","0.895675675675676"
"Chile","2014","8","7","0.875"
"Chile","2015","29","29","1"
"Chile","2016","53","51","0.962264150943396"
"Chile","2017","46","44","0.956521739130435"
"Chile","2018","98","90","0.918367346938776"
"China","2014","36","35","0.972222222222222"
"China","2015","127","117","0.921259842519685"
"China","2016","182","173","0.950549450549451"
"China","2017","96","93","0.96875"
"China","2018","317","277","0.873817034700315"
"Colombia","2014","14","14","1"
"Colombia","2015","20","19","0.95"
"Colombia","2016","50","49","0.98"
"Colombia","2017","69","63","0.91304347826087"
"Colombia","2018","174","167","0.959770114942529"
"Croatia","2014","12","11","0.916666666666667"
"Croatia","2015","38","35","0.921052631578947"
"Croatia","2016","78","73","0.935897435897436"
"Croatia","2017","85","77","0.905882352941176"
"Croatia","2018","103","100","0.970873786407767"
"Czech Republic","2014","29","28","0.96551724137931"
"Czech Republic","2015","98","98","1"
"Czech Republic","2016","159","154","0.968553459119497"
"Czech Republic","2017","160","153","0.95625"
"Czech Republic","2018","330","321","0.972727272727273"
"Denmark","2014","39","39","1"
"Denmark","2015","145","139","0.958620689655172"
"Denmark","2016","332","325","0.978915662650602"
"Denmark","2017","152","143","0.940789473684211"
"Denmark","2018","336","319","0.949404761904762"
"Egypt","2014","16","14","0.875"
"Egypt","2015","41","35","0.853658536585366"
"Egypt","2016","52","50","0.961538461538462"
"Egypt","2017","40","35","0.875"
"Egypt","2018","119","107","0.899159663865546"
"Estonia","2014","11","11","1"
"Estonia","2015","27","27","1"
"Estonia","2016","53","51","0.962264150943396"
"Estonia","2017","46","41","0.891304347826087"
"Estonia","2018","91","87","0.956043956043956"
"Finland","2014","28","27","0.964285714285714"
"Finland","2015","117","112","0.957264957264957"
"Finland","2016","251","241","0.960159362549801"
"Finland","2017","158","139","0.879746835443038"
"Finland","2018","282","261","0.925531914893617"
"France","2014","140","136","0.971428571428571"
"France","2015","422","409","0.969194312796208"
"France","2016","851","818","0.961222091656874"
"France","2017","865","797","0.921387283236994"
"France","2018","1287","1211","0.940947940947941"
"Germany","2014","305","298","0.977049180327869"
"Germany","2015","936","909","0.971153846153846"
"Germany","2016","1957","1881","0.961165048543689"
"Germany","2017","2034","1898","0.933136676499508"
"Germany","2018","3115","2940","0.943820224719101"
"Greece","2014","19","19","1"
"Greece","2015","73","70","0.958904109589041"
"Greece","2016","196","181","0.923469387755102"
"Greece","2017","135","126","0.933333333333333"
"Greece","2018","235","225","0.957446808510638"
"Hong Kong","2014","10","10","1"
"Hong Kong","2016","61","54","0.885245901639344"
"Hong Kong","2017","57","49","0.859649122807018"
"Hong Kong","2018","119","106","0.890756302521008"
"Hungary","2014","30","30","1"
"Hungary","2015","90","86","0.955555555555556"
"Hungary","2016","127","122","0.960629921259842"
"Hungary","2017","171","162","0.947368421052632"
"Hungary","2018","229","218","0.951965065502183"
"India","2014","549","523","0.95264116575592"
"India","2015","1443","1250","0.866250866250866"
"India","2016","2746","2495","0.908594319009468"
"India","2017","1948","1766","0.906570841889117"
"India","2018","5211","4815","0.924006908462867"
"Indonesia","2014","14","13","0.928571428571429"
"Indonesia","2015","47","45","0.957446808510638"
"Indonesia","2016","82","78","0.951219512195122"
"Indonesia","2017","105","98","0.933333333333333"
"Indonesia","2018","205","195","0.951219512195122"
